epoch,train_loss,train_accuracy,test_loss,test_accuracy,test_precision,test_recall,test_f1,learning_rate,elapsed_time
1,0.7942065796745357,82.31833333333334,0.16208631842385365,95.24000000000001,95.32360197475415,95.24560379297154,95.199365511262,0.0001219206376277275,65.24477648735046
2,0.18524077716571435,94.67166666666667,0.12082033681011276,96.46000000000001,96.66205065694895,96.39226930740803,96.4616695986847,0.000349569419930821,127.81439280509949
3,0.14013970331517236,95.87833333333333,0.14373032841831446,95.74000000000001,95.89680532098335,95.70832688355179,95.70175376064934,0.0006083300778474581,190.20166873931885
4,0.1141882995659831,96.53,0.24684430275678257,92.60000000000001,93.67461282221905,92.60595599082599,92.60621867265331,0.000777015510581627,252.58863067626953
5,0.08356670220432155,97.60333333333332,0.2884335839720089,92.03,93.96110168861614,91.85714642648006,91.58223736701213,0.0007836597205093342,315.17164158821106
6,0.06120206637313959,98.18666666666667,0.03217617810657395,99.07000000000001,99.08834218955896,99.05571002711157,99.06791713968502,0.0006615764798345582,377.5467553138733
7,0.04505976079491529,98.65,0.031500822206505255,99.00999999999999,99.01040877561285,99.01404877450405,99.00821636334327,0.0004564450630120936,439.9266309738159
8,0.03375336173142412,98.96666666666667,0.02225371530783124,99.22,99.22765469925606,99.21328068971171,99.2190267354728,0.0002333932454937413,502.32081842422485
9,0.025363920376882322,99.19333333333333,0.020425266710580092,99.42,99.42579861155639,99.40810263567792,99.41609564313062,6.32384033327466e-05,564.672525882721
10,0.020282288799672994,99.37833333333333,0.018181824395849363,99.44,99.4445518245405,99.42912542848936,99.43576657824427,3.496658561017145e-09,627.0546414852142
